sanatci,soz
Tepki,ya ya ya.the maze boy.1076 kerem lisenin eziği.önemli değil bak onun ne dediği.koca okulda bi oydu küpeli.çok da sevmiyodu öyle güneşi.sözler vardı söylemek istediği.yazdı durdu gece gündüz kareli defterlere eğri büğrü satırlarını çok kez .beden dersi eşofman da yoktu oysa rapti dünyası bu onda oldu baya kompleks .aynı mahalle başka dilde sohbet.popüler kız hayaliydi o pilot kız hostes .anlamadı hayalini kimse beş parasız çünkü sözlеr büyük ama yaşı on beş.sultanmurat bi bulgar kafesi baniçka poniçka kifla.sedat abi muhallеbi karşı yolda iddia.tutmuyordu bu okulla kimya.cengiz değil aşk yaşadı menia.yani ben anya o da konya.kulaklığım takılı ses mümkün oldukça sonda.okuldan eve yürürdüm medcezir hep fonda.hayalimdi honda.kendine getirir sert bir korna
Tepki,kimsenin olmadığı bir diyarda.kimsenin görmediği bir yerde.herkesin omuzları tam yükle çalışır gözleri hep siperde.hani bi çocuk masumca sırıtıp dünyaya güzellikler diler de.yine de dünya ondan bir ısırık almak için dişlerini bilerse.o zaman isyanım rap.en başından en sonuna.hayatın bağlıysa üç beş kuruşa.o zaman isyanım rap.tek yarışım cash solumak.sonuçta para cözüm her soruna.o zaman isyanım.bi düşün sokaktaki manzarayı.av olma bırak oğlum avlamayı.her saniye yaşıyorum sanan küçük bi balık gibi miğdesinde balinanın.bu hayat.kiminin canını yakar.kiminin limitsizdir olanağı var.başına gelir derler hep olacağı var.dik durup savaş yürü seçeceğin olacağına.bugün başka biri olmak için değil.kendin olmak için yürü.bugün silelim o acınası beş parasız sefaletle dolu dünü.korkuyla dolu.i̇nsanlar korkuyla dolu.sanıyorlar yok hiç bi yolu.i̇nan sayenizde umut dolu yok hiçbir çocuk.bunu çok istiyorum.bu siktiğimin savaşını kazanmak.ve inan onlarcası arkamdan gelecek bir gün zaferimi mahalleme adarsam.maze
Tepki,nasıl hayale dalabilirim.gerçek bu kadar aşüfteyken.nasıl uyanabilirim.ama saat daha erken .ama saat daha erken .ama saat daha erken .çekmecenin ışıkları yanıyo.demek ki saat daha erken.bütün serseriler hayalini arıyo.ama saat daha erken.günahlarım roleximle paralel.demiştim ya akıl değil para ver.geçer çocukluğum peşinde.şimdi mıknatıs gibiyim olur fazlası bana dert.dağıt dağıt dağıt dağıt.çekmecenin kaldırımları görüyo jordanları yeniden.dağıt dağıt dağıt dağıt.sanki bi filmin içindeyiz söyle bu nası bi serüven.ah biziz şehirin çarkını çeviren.ah gökdelenlere bu boku getiren.ah istedik oynadı zemin yerinden.çevirmede benjamini çıkarırım cebimden.ah yok yeşil pasaportum yine de şarkılarım geziyo tüm evreni.günah nedir bana sorsun yine de yaşıyoruz dostlarımla cenneti
Tepki,hahaha.mete her şey senin için.gecenin bu vaktinde valla uykum var ya.yani uğraştığımız şeye bak.kaydedip şey yapmıyorum öyle.stream mtream uğraşmıyorum onlarla.tep.kriz kriz kaos tek istediği piyasanızın inanın.i̇stikrarlı şekilde yapıyo’ yılda bikaç diss.adamın işi gücü yok bela arıyor akıllı çocuk şaka yapıyo.otuzluk pezevenk karakterini kırmızı caddelerde kaça satıyo’.sor sor nasıl tapıyo müritleri var ama dini yok ya.stili yalnız kötü kopya sert çocuk hayatın ütopya.geliriz veririz şehirde giyinip kuşanıp mobeseye poz da.torbacı diyosun bize de o güzel kafan söyle nasıl bi dozda.fazlası sana haram duramam inanın aramadan.açamaz telefon tutuşur kıçı ve ammosundan gelir aramalar.gözüm dönüyor buna tamam sana prim vermeden yaşayamam.yükseliyoken piyasası hazır olun gelecek kaşara zam.utanıcak seninle her çalışan hamza ve ben base ve mode.bu yüzden kovulur mete çocuk boşuna gidiyo onca demo.kültürü kurtarıcakmış it ağzına alıyo biggie ve pac.sence krazy’nin konusu ne biggie joint’ini yere bırak.bipolar piç koca bi shit tabii düşünmedin sonunu hiç.bi’ kerede atarız fark der bozuk kol kapatır oyunu bitch.dil altı getir yaşıyo kriz çocuktum joker yapıyodu freeze.kültürü seviyo mete tabii eski okul yapıyo’ sana linç.hesaplı kitaplı beş ay çalıştın üstüne şu boktan planın.bi gece sürdü cevabın hazıretiket yarısı fiyatın.dükkanı kapa ve git delikanlı olur eve hapispis.seni sen yapan bi diss haliyle başladığın gibi bit.hiphop değil blowjobz otur mete hiç flow yok tokuz.bizde bol biraz zor moruk bu yüzden seninle yokuz.dokuz sekiz yedi gecenin körü yazarım deli.altı beş dört iki sayarım geri meteyi verin.olmadı çalın alttan eminemi mete zeka yaşın mı geriledi.abi iyisi mi sen evine git rap yapcam diyo yine deli herif.takmış kafayı diss diss diss etoo bitmiş.mete olsam mero derdim fick dich.zor bu devirde joker olmak borsası baya bi düşük.hedefim yıldızlar senin oyunda kalmak bunu bidüşün.ver cevap daha da küçül küçül küçül daha da küçül.tehehe mete galiba küsüz.sorun yok moruk ya hiç değil sikimde.seninle uğraşamam tep işinde gücünde.i̇stiyosan alabilirsin bu videonun telifini.mete bu arttırabilir bi anda gelirini
Tepki,sonsuza kadar.sonsuza kadar.sonsuza kadar.sonsuza kadar.belki de kader öylece biter.yarınlar okay ya peşimdekiler.gelir sonsuza kadar.sonsuza kadar.ortam dolu leşle tut vitesi 5te.yeni nesil kreşte ol adam değil hashtag.peşimdeki şahin değil maybach .ayağındaki tn değil air max .karşımızda titreyip de seğirme .yaptığınız müzik değil geğirmek .havaleler yetmez hafta sonu fastle.etim pişsin az beni pit bull gibi beslе.kemik dile kültür senin nеyine .orjinaliz dizi gibi seyret .i̇çin gibi dışın olsa keşke .çekmiyorum sizin gibi peşkeş.sonsuza kadar moruk sonsuza kadar.hepsi belki de kader bi gün öylece geçer.bi gün gerindekiler olur peşindekiler.aynı zombi gibi indiririm piçi yeniden
Tepki,kalbin evsizler gibi .üşüyüp yine seni yaktıysa .i̇nsanlar mevsimler gibi .hepimiz değişiriz aslında .yaşadık ama buna diyemem hayat.hep sonbahar gelip kapımıza çalıcaksa .biri gelip senin ömrüme ortakken.terk edip de yarısını alıcaksa.aşk dediğin sana acı vericekse.senin için yazsa da ona hep ayazsa.sensiz olamam diyip sana doyucaksa.bize yerin yoksa da gideriz ayakta.ne zaman korktuk yollarda.başı dik gözü pek bu ateş bize.zevk alırız nе demek.i̇ki tek şеrefe meçhul hep gelecek.asla bilmediler ağladığımı.belki fazla koştum belki yağmur yağdı.yüküm ağır kimse bilmedi ne taşıdığımı.tek şahidi sensin kalbinde yaşadığının
Tepki,ne denli güzel olabilir insan.geçen bunca acı dolu zamanla.ne denli güzel olabilir insan.ruhunu kaplayan onca yalanla.hisset bunu hisset.kulak as ne olur bir kez.olamazdık hiç kimse.dünya dursa yine dönse.yine doğsak yine ölsek.nefes almak bile zor şeymiş aslında.nasıl sarıcam yaralarımı ha.nasıl geri alıcam zamanı ha.nasıl aşıcaz tantanayı söyle.ne bugündüm ne de yarınım ha.tamam olsan bile yarımım ha.yalan olmuş anılarımız şimdi.moda olmuş buna alışmak.yok yere bu rutine karışmak.kaderine öylece sarılmak.nefes alıp ölü gibi anılmak.i̇nadına daha daha yanılmak.mezarına güllerin atılcak
Tepki,hakkımda düşündüğünüz onca şeye hitaben.sahip olduğum bikaç hikayem.2012 adım çıktı dokuza inmez sekize bak bi kerize.konumuz şehir efsanesi.anlatayım size efsanemi.yapı markete gidip alışveriş yap.elinden geldiği kadar ucuzları kap.böylece başladı klip.bozuk mac klavyesini bulmak mı zor iş.20 lira aplik 30 lira vazo. hayır 20 lira az o.klavye sanki taso.kır dedi joker başka işe yaramaz o.pahalı başladık pahalı gidelim.hummerın şöförüne gazı verelim.yukardan çek palmiyeleri.çek marmarisi los angeles edelim.ve polis çevirir in dedi arabadan.70 lira ceza kitledi bu arada.i̇çine binmek için dedi bu araba.el salla kayıttayız kameraya.eskortta tamam artık itibarım var.zengin mi hayır itirazım var.olsa hayır demem biraz paraya çünkü
Tepki,küsmek yok kimseye küsmek yok.hiphop bu kanımda yüksek doz.ama yanımda sadece 35 dost.yalakalar adam kafamda sadece para para para.tırmandığım o duvarı eşeledim ve istiyorum yaraları kanatana kadar.beat çal rap yoksa da hep bizi it kopuk eş dost sanar.leş kokmadan benden haberin olmazdı eğer bana mest olmasan.beynimde çalan tek nota var biz şöminedeki yanan beş kozalak.ben kafamdakilerle pozitif olamam tüm dostlarım bu ghettodalar.kick ve snare bize sağ ve sol muhabbet olsun bebedeki bahane bol.git de kahve koy bize bi rağbet olsun diye bize gelme buraya lanet olsun.rhymeları sok göte sus bu iş size tuz ve de boş ve de .kelimelerle deli gibi bi ben oynarım aga aranan adam bong ve de buz.gel geriden perdeni ger ve de renkleri ser dertleri del.çık dışarı bu engebeden ben yeniden.rap yapana kadar konuşma sus defteri ver .ders verilen hiçbir yerde yok biz gibi serseriler .yine de dene tökezleyip düşsen de dene.sonunda ne olacağından hep ürksen de dene.gerek yok tüm yükü omzuna yüklemene de.bütün sorunsa tanrıya hiç lütfen dememek.sendele ve düşsen de dene.hayatla her bi gün barışıp küssen de dene.denedikçe ihtimal yok güçlenmemene.düş sendele ve yine yüksel ve dene
Tepki,devam tabi ya  .tattım küçük yaşımda ghettoyu .şimdiyse giyinmiyorum eski günlerdeki gibi defolu.zar zor dinletmiştim bi şirkete demomu.şimdiyse tep diyolar bizi seç ne olur.eskiden zordu hayat işin sonu muamma.şimdi tvdeyim bi elimde kumanda .tek derdimdi bmxle tur atmak.şimdi x w oldu anneciğim duanla.eskiden çekmecede tren yolu beklemek.şimdiyse bu pisliği satırlara eklemek.eskiden tepe üstü tedin önü breakdance.şimdiyse yer bulursan konserime bilet kap.kabul et camianız bu işi küçümsedi.biz milyonluk olmak için topladık üçü beşi.ne zordu eskiden hayal etmek bu günleri.müzik öğretmenim bi star olcağımı düşünmedi.bu black rap kulak ver mektep sokak  .sekiz saat freestyle ve sıkı bi çene yürek.ve dert çekmek hobi sanki track roket bekle.apaçık hedef halindeyim sen korun çelik yelekle.bi crack çekmek göt ister ve benle battle durumun.nefretim sicilyalıyken intikamım anadolu.rapte maradonayım siz fame için para bulun.sikeyim şekillerini battle ekol allame baban olur biatch .kral kim düşünüyorlar delirdiğimi.mclerin taklidim olmasından bu belli değil mi.i̇tiraf et rhymelarımla tüm kariyerini ellediğimi.ezik piç beyazlara bürün gösterme pembeliğini.bu kapatır her deliğini tek başıma bi garnizonum.haksız olan köpekler benimle yaşar sorun.beynim emrediyor başar zoru dostların kaşarsa korun.ben artık tekim sırtımsa hançer izleriyle dolu
